employee_id,employee_name,department,position,employment_status,performance_score,engagement_survey,emp_satisfaction,salary,onboarding_task_count,onboarding_completion_percentage,learning_record_count,completed_learning_records,tool_usage_record_count,average_daily_active_usage,support_ticket_count,open_support_ticket_count
10001,"Candie, Calvin",Production       ,Production Manager,Active,Exceeds,5.0,3,72640,14,89.36,11,12600,45,0.47,5,0
10002,"Anderson, Linda  ",Production       ,Production Technician I,Active,Exceeds,5.0,5,57568,12,81.83,11,7560,45,0.58,2,0
10003,"Billis, Helen",Production       ,Production Technician I,Active,Exceeds,5.0,3,62910,14,69.29,11,20160,45,0.6,4,0
10004,"Lynch, Lindsay",Production       ,Production Technician I,Voluntarily Terminated,Exceeds,5.0,4,47434,14,89.21,10,13230,45,0.53,3,0
10005,"Patronick, Lucas",Software Engineering,Software Engineer,Voluntarily Terminated,Exceeds,5.0,5,108987,14,86.93,11,26460,45,0.6,6,0
10006,"Driver, Elle",Sales,Area Sales Manager,Active,Exceeds,4.77,5,74241,14,78.64,10,4410,45,0.38,0,0
10007,"Harrison, Kara",Production       ,Production Technician I,Active,Exceeds,4.76,4,62065,14,90.29,10,26460,45,0.56,7,0
10008,"Lindsay, Leonara ",IT/IS,IT Support,Active,Exceeds,4.64,4,51777,13,71.54,11,16380,45,0.49,4,0
10009,"Jeannite, Tayana",Production       ,Production Technician II,Active,Exceeds,4.6,4,60724,14,73.64,10,13230,45,0.47,3,0
10010,"Zamora, Jennifer",IT/IS,CIO,Active,Exceeds,4.6,5,220450,14,80.57,9,7560,45,0.51,2,0
10011,"Rivera, Haley  ",Production       ,Production Technician I,Active,Exceeds,4.36,5,46738,14,82.14,10,11340,45,0.56,3,0
10012,"Barbossa, Hector",IT/IS,Data Analyst,Active,Exceeds,4.28,4,92328,14,90.43,11,4410,45,0.56,1,0
10013,"Torrence, Jack",Sales,Area Sales Manager,Active,Exceeds,4.1,3,64397,14,75.43,10,25200,45,0.4,5,0
10014,"Veera, Abdellah ",Production       ,Production Technician I,Voluntarily Terminated,Exceeds,4.5,5,58523,14,91.29,8,17640,45,0.47,4,0
10015,"Foss, Jason",IT/IS,IT Director,Active,Exceeds,5.0,5,178000,13,91.69,10,8775,45,0.49,3,0
10016,"Petrowsky, Thelma",IT/IS,Data Analyst,Active,Exceeds,4.6,5,93554,14,77.57,11,4410,45,0.51,1,0
10017,"Liebig, Ketsia",Production       ,Production Manager,Active,Exceeds,4.1,3,77915,14,90.14,10,11340,45,0.44,2,0
10018,"Girifalco, Evelyn",Production       ,Production Technician I,Active,Exceeds,3.9,4,57815,14,85.36,10,15120,45,0.58,4,0
