employee_id,employee_name,department,usage_record_count,average_daily_active_usage,average_slack_activity,average_jira_usage,average_github_activity,average_teams_activity,average_workspace_activity
10225,"Punjabhi, Louis  ",Production       ,45,0.71,2.38,1.58,1.62,0.36,3.29
10267,"Bondwell, Betsy",Production       ,45,0.71,3.27,1.49,2.29,0.6,2.49
10072,"Whittier, Scott",Production       ,45,0.69,3.02,1.84,2.44,0.93,2.09
10088,"Alagbe,Trina",Production       ,45,0.69,3.22,1.62,2.51,0.69,1.8
10043,"Zhou, Julia",IT/IS,45,0.67,2.91,1.73,2.51,0.87,2.02
10049,"Fidelia,  Libby",Production       ,45,0.64,2.73,1.62,1.87,0.76,1.78
10056,"Darson, Jene'ya ",Production       ,45,0.64,2.49,1.56,2.51,0.73,2.33
10111,"Garcia, Raul",Production       ,45,0.64,2.62,1.6,1.96,0.76,1.87
10117,"Sullivan, Timothy",Production       ,45,0.64,2.18,1.49,1.91,0.71,2.49
10235,"England, Rex",Production       ,45,0.64,2.31,1.33,1.49,0.42,2.22
10301,"Ybarra, Catherine ",Production       ,45,0.64,2.67,1.36,2.11,0.64,1.64
10029,"Clukey, Elijian",Production       ,45,0.62,2.24,1.56,1.8,0.6,2.36
10045,"Turpin, Jumil",IT/IS,45,0.62,2.42,1.78,1.8,0.47,2.73
10062,"Athwal, Sam",Production       ,45,0.62,2.13,1.56,2.49,1.09,2.44
10073,"Mancuso, Karen",Production       ,45,0.62,2.6,1.78,2.04,0.47,1.84
10079,"Navathe, Kurt",IT/IS,45,0.62,2.89,1.27,2.18,0.58,1.93
10087,"Leach, Dallas",Production       ,45,0.62,1.91,1.91,1.96,0.73,2.22
10162,"Roby, Lori ",IT/IS,45,0.62,2.64,1.44,1.67,0.58,2.47
10185,"Ndzi, Horia",Production       ,45,0.62,2.71,1.47,1.89,0.71,1.84
10186,"Linares, Marilyn ",Production       ,45,0.62,2.71,1.42,1.8,0.69,2.2
10194,"Andreola, Colby",Software Engineering,45,0.62,2.22,1.51,2.33,0.58,1.91
10271,"Zima, Colleen",Production       ,45,0.62,1.93,1.64,1.87,0.29,2.82
10287,"Trang, Mei",Production       ,45,0.62,2.38,1.49,1.53,0.69,2.73
10295,"Saar-Beckles, Melinda",Production       ,45,0.62,2.71,1.36,2.24,0.29,1.67
10003,"Billis, Helen",Production       ,45,0.6,2.0,1.58,1.56,0.42,2.0
10005,"Patronick, Lucas",Software Engineering,45,0.6,2.49,1.51,1.53,0.62,2.91
10023,"Beak, Kimberly  ",Production       ,45,0.6,2.6,1.71,2.04,0.78,2.62
10044,"Tredinnick, Neville ",IT/IS,45,0.6,3.16,1.53,1.91,1.16,1.02
10050,"Pham, Hong",Production       ,45,0.6,2.69,1.42,1.98,0.82,2.47
10061,"Bates, Norman",Production       ,45,0.6,3.2,1.73,2.38,0.6,1.96
10066,"Barton, Nader",Production       ,45,0.6,3.4,1.82,1.89,1.11,1.96
10069,"Anderson, Carol ",Production       ,45,0.6,2.58,1.58,1.93,0.76,2.18
10070,"DeGweck,  James",Production       ,45,0.6,2.73,1.16,1.62,0.42,2.18
10076,"Carthy, B'rigit",Production       ,45,0.6,3.04,1.64,2.02,0.82,2.51
10119,"Soto, Julia ",IT/IS,45,0.6,2.96,1.44,1.78,0.24,2.33
10139,"Ivey, Rose ",Production       ,45,0.6,2.2,2.0,1.8,0.22,2.22
10145,"Mckenna, Sandy",Production       ,45,0.6,2.09,1.33,1.69,1.2,2.02
